quote,quote_spa,movie,movie_spa,character,image_link
"Get busy living, or get busy dying.","Ocúpate en vivir, o en morir.",The Shawshank Redemption (1994),Cadena perpetua (1994),Andy Dufresne,https://www.imdb.com/title/tt0111161/mediaviewer/rm195474688/
"Hope is a good thing, maybe the best of things, and no good thing ever dies.","La esperanza es algo bueno, quizá lo mejor de todo, y las cosas buenas nunca mueren.",The Shawshank Redemption (1994),Cadena perpetua (1994),Andy Dufresne,https://www.imdb.com/title/tt0111161/mediaviewer/rm2108642304/
"Don’t ever let somebody tell you you can’t do something. Not even me. You got a dream, you gotta protect it. If you want something, go get it. Period.","Nunca dejes que nadie te diga que no puedes hacer algo, ni siquiera yo. Si tienes un sueño, tienes que protegerlo. Si quieres algo, ve y consíguelo. Punto.",The Pursuit of Happyness (2006),En busca de la felicidad (2006),Chris Gardner,https://www.imdb.com/title/tt0454921/mediaviewer/rm4166675456/
"It’s not who we are underneath, but what we do that defines us.","No es quiénes somos por dentro, sino lo que hacemos lo que nos define.",Batman Begins (2005),Batman inicia (2005),Bruce Wayne / Batman,https://www.imdb.com/title/tt0372784/mediaviewer/rm1078390272/
"Why do we fall, sir? So that we can learn to pick ourselves up.","¿Por qué caemos, señor? Para aprender a levantarnos.",Batman Begins (2005),Batman inicia (2005),Alfred Pennyworth,https://www.imdb.com/title/tt0372784/mediaviewer/rm2240422912/
It is not our abilities that show what we truly are… it is our choices.,No son nuestras habilidades las que muestran quiénes somos realmente... son nuestras elecciones.,Harry Potter and the Chamber of Secrets (2002),Harry Potter y la cámara secreta (2002),Albus Dumbledore,https://www.imdb.com/title/tt0295297/mediaviewer/rm3816584448/
Let me tell you something you already know. The world ain’t all sunshine and rainbows… it’s about how hard you can get hit and keep moving forward.,Déjame decirte algo que ya sabes. El mundo no es todo sol y arcoíris... se trata de qué tan duro puedes ser golpeado y seguir adelante.,Rocky Balboa (2006),Rocky Balboa (2006),Rocky Balboa,https://www.imdb.com/title/tt0479143/mediaviewer/rm3831894528/
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it.,La única cosa que se interpone entre tú y tu meta es la mentira que te sigues contando sobre por qué no puedes lograrlo.,The Wolf of Wall Street (2013),El lobo de Wall Street (2013),Jordan Belfort,https://www.imdb.com/title/tt0993846/mediaviewer/rm1559367424/
"The greatest glory in living lies not in never falling, but in rising every time we fall.","La mayor gloria en la vida no está en nunca caer, sino en levantarnos cada vez que caemos.",Invictus (2009),Invictus (2009),Nelson Mandela,https://www.imdb.com/title/tt1057500/mediaviewer/rm1126240512/
"There should be no boundaries to human endeavor. We are all different. However bad life may seem, there is always something you can do and succeed at. While there's life, there is hope.","No debe haber límites para el esfuerzo humano. Todos somos diferentes. Por muy mala que parezca la vida, siempre hay algo que puedes hacer y en lo que puedes triunfar. Mientras haya vida, hay esperanza.",The Theory of Everything (2014),La teoría del todo (2014),Stephen Hawking,https://www.imdb.com/title/tt2980516/mediaviewer/rm105637760/
Do or do not. There is no try.,"Hazlo o no lo hagas, pero no lo intentes.",Star Wars: The Empire Strikes Back (1980),Star Wars: Episodio V - El Imperio Contraataca (1980),Yoda,https://www.imdb.com/title/tt0080684/mediaviewer/rm332363520/
"Life moves pretty fast. If you don’t stop and look around once in a while, you could miss it.","La vida se mueve muy rápido. Si no te detienes y miras a tu alrededor de vez en cuando, puedes perdértela.",Ferris Bueller’s Day Off (1986),Todo en un día (1986),Ferris Bueller,https://www.imdb.com/title/tt0091042/mediaviewer/rm1710406656/
Sometimes the right path is not the easiest one.,"A veces, el camino correcto no es el más fácil.",Pocahontas (1995),Pocahontas (1995),Grandmother Willow,https://www.imdb.com/title/tt0114148/mediaviewer/rm2627606016/
Nothing happens to anyone that he is not fitted by nature to bear.,Nada le sucede a nadie que no esté hecho para soportar.,Gladiator (2000),Gladiador (2000),Maximus,https://www.imdb.com/title/tt0172495/mediaviewer/rm2563725824/
It’s only after we’ve lost everything that we’re free to do anything.,"Sólo después de haberlo perdido todo, somos libres para hacer cualquier cosa.",Fight Club (1999),El club de la pelea (1999),Tyler Durden,https://www.imdb.com/title/tt0137523/mediaviewer/rm4261350912/
"Every man dies, but not every man really lives.","Todo hombre muere, pero no todos realmente viven.",Braveheart (1995),Corazón valiente (1995),William Wallace,https://www.imdb.com/title/tt0112573/mediaviewer/rm2882743040/
There’s no place like home.,No hay lugar como el hogar.,The Wizard of Oz (1939),El mago de Oz (1939),Dorothy Gale,https://www.imdb.com/title/tt0032138/mediaviewer/rm3514045184/
"After all, tomorrow is another day!","¡Después de todo, mañana es otro día!",Gone with the Wind (1939),Lo que el viento se llevó (1939),Scarlett O'Hara,https://www.imdb.com/title/tt0031381/mediaviewer/rm4288315904/
"Frankly, my dear, I don’t give a damn.","Francamente, querida, me importa un comino.",Gone with the Wind (1939),Lo que el viento se llevó (1939),Rhett Butler,https://www.imdb.com/title/tt0031381/mediaviewer/rm1172976128/
The flower that blooms in adversity is the most rare and beautiful of all.,La flor que florece en la adversidad es la más rara y hermosa de todas.,Mulan (1998),Mulan (1998),The Emperor,https://www.imdb.com/title/tt0120762/mediaviewer/rm1715283456/
"Carpe diem. Seize the day, boys. Make your lives extraordinary.","Carpe diem. Aprovechen el día, muchachos. Hagan que sus vidas sean extraordinarias.",Dead Poets Society (1989),La sociedad de los poetas muertos (1989),John Keating,https://www.imdb.com/title/tt0097165/mediaviewer/rm1647325952/
Just keep swimming.,Sólo sigue nadando.,Finding Nemo (2003),Buscando a Nemo (2003),Dory,https://www.imdb.com/title/tt0266543/mediaviewer/rm4217780224/
To infinity and beyond!,¡Hasta el infinito y más allá!,Toy Story (1995),Toy Story (1995),Buzz Lightyear,https://www.imdb.com/title/tt0114709/mediaviewer/rm1911000832/
You have to do the best with what God gave you.,Tienes que hacer lo mejor con lo que Dios te dio.,Forrest Gump (1994),Forrest Gump (1994),Forrest Gump,https://www.imdb.com/title/tt0109830/mediaviewer/rm1010563072/
I’m the king of the world!,¡Soy el rey del mundo!,Titanic (1997),Titanic (1997),Jack Dawson,https://www.imdb.com/title/tt0120338/mediaviewer/rm1556735232/
Every man has his breaking point.,Todo hombre tiene su punto de quiebre.,A Few Good Men (1992),Algunos hombres buenos (1992),Col. Jessep,https://www.imdb.com/title/tt0104257/mediaviewer/rm1002262784/
I’m going to make him an offer he can’t refuse.,Le haré una oferta que no podrá rechazar.,The Godfather (1972),El padrino (1972),Vito Corleone,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/
You can’t handle the truth!,¡No puedes manejar la verdad!,A Few Good Men (1992),Algunos hombres buenos (1992),Col. Jessep,https://www.imdb.com/title/tt0104257/mediaviewer/rm1002297600/
The stuff that dreams are made of.,El material del que están hechos los sueños.,The Maltese Falcon (1941),El halcón maltés (1941),Sam Spade,https://www.imdb.com/title/tt0033870/mediaviewer/rm2373532928/
I wish I knew how to quit you.,Ojalá supiera cómo dejarte.,Brokeback Mountain (2005),Secreto en la montaña (2005),Ennis Del Mar,https://www.imdb.com/title/tt0388795/mediaviewer/rm1417879296/
"It’s supposed to be hard. If it wasn’t hard, everyone would do it. The hard... is what makes it great.","Se supone que debe ser difícil. Si no fuera difícil, todo el mundo lo haría. Lo difícil... es lo que lo hace grandioso.",A League of Their Own (1992),Ellas dan el golpe (1992),Jimmy Dugan,https://www.imdb.com/title/tt0104694/mediaviewer/rm258599040/
"Just when I thought I was out, they pull me back in.","Justo cuando pensé que estaba fuera, me vuelven a meter.",The Godfather: Part III (1990),El padrino III (1990),Michael Corleone,https://www.imdb.com/title/tt0099674/mediaviewer/rm2517260288/
You’re gonna need a bigger boat.,Vas a necesitar un barco más grande.,Jaws (1975),Tiburón (1975),Martin Brody,https://www.imdb.com/title/tt0073195/mediaviewer/rm1546363648/
"I’m mad as hell, and I’m not going to take this anymore!",¡Estoy furioso y no voy a soportar esto más!,Network (1976),Red de mentiras (1976),Howard Beale,https://www.imdb.com/title/tt0074958/mediaviewer/rm2712411136/
Say hello to my little friend!,¡Saluda a mi pequeño amigo!,Scarface (1983),Caracortada (1983),Tony Montana,https://www.imdb.com/title/tt0086250/mediaviewer/rm4097262080/
Why so serious?,¿Por qué tan serio?,The Dark Knight (2008),El caballero de la noche (2008),The Joker,https://www.imdb.com/title/tt0468569/mediaviewer/rm4023870464/
I see dead people.,Veo gente muerta.,The Sixth Sense (1999),El sexto sentido (1999),Cole Sear,https://www.imdb.com/title/tt0167404/mediaviewer/rm2123136000/
Life finds a way.,La vida se abre camino.,Jurassic Park (1993),Parque Jurásico (1993),Dr. Ian Malcolm,https://www.imdb.com/title/tt0107290/mediaviewer/rm1695739392/
"Keep your friends close, but your enemies closer.","Mantén a tus amigos cerca, y a tus enemigos más cerca.",The Godfather: Part II (1974),El padrino: Parte II (1974),Michael Corleone,https://www.imdb.com/title/tt0071562/mediaviewer/rm1938989312/
"Houston, we have a problem.","Houston, tenemos un problema.",Apollo 13 (1995),Apolo 13 (1995),Jim Lovell,https://www.imdb.com/title/tt0112384/mediaviewer/rm3106417920/
What we do in life echoes in eternity.,Lo que hacemos en la vida tiene su eco en la eternidad.,Gladiator (2000),Gladiador (2000),Maximus,https://www.imdb.com/title/tt0172495/mediaviewer/rm1679584768/
Love means never having to say you're sorry.,Amar significa no tener que decir nunca lo siento.,Love Story (1970),Historia de amor (1970),Jennifer Cavalleri,https://www.imdb.com/title/tt0066011/mediaviewer/rm3371515392/
You is kind. You is smart. You is important.,Eres amable. Eres inteligente. Eres importante.,The Help (2011),Historias cruzadas (2011),Aibileen Clark,https://www.imdb.com/title/tt1454029/mediaviewer/rm1920328192/
Even the darkest night will end and the sun will rise.,Incluso la noche más oscura terminará y el sol saldrá.,Les Misérables (2012),Los miserables (2012),Jean Valjean,https://www.imdb.com/title/tt1707386/mediaviewer/rm1344436480/
"To me, you are perfect.","Para mí, eres perfecta.",Love Actually (2003),Realmente amor (2003),Mark,https://www.imdb.com/title/tt0314331/mediaviewer/rm4126147584/
There’s no shame in being afraid. What matters is how we face it.,No hay vergüenza en tener miedo. Lo que importa es cómo lo enfrentamos.,The Walking Dead (TV),The Walking Dead (TV),Rick Grimes,https://www.imdb.com/title/tt1520211/mediaviewer/rm2908231168/
It’s what you do right now that makes a difference.,Es lo que haces ahora lo que marca la diferencia.,Black Hawk Down (2001),La caída del halcón negro (2001),Norm 'Hoot' Hooten,https://www.imdb.com/title/tt0265086/mediaviewer/rm3065562624/
Fear is not real. It is the product of thoughts you create.,El miedo no es real. Es el producto de los pensamientos que tú creas.,After Earth (2013),Después de la Tierra (2013),Cypher Raige,https://www.imdb.com/title/tt1815862/mediaviewer/rm2246105600/
Don’t let anyone ever make you feel like you don’t deserve what you want.,No dejes que nadie te haga sentir que no mereces lo que quieres.,10 Things I Hate About You (1999),10 cosas que odio de ti (1999),Patrick Verona,https://www.imdb.com/title/tt0147800/mediaviewer/rm3711441152/
"Happiness can be found even in the darkest of times, if one only remembers to turn on the light.","La felicidad se puede hallar incluso en los momentos más oscuros, si somos capaces de usar bien la luz.",Harry Potter and the Prisoner of Azkaban (2004),Harry Potter y el prisionero de Azkaban (2004),Albus Dumbledore,https://www.imdb.com/title/tt0304141/mediaviewer/rm311528704/
You get what you settle for.,Obtienes lo que te conformas.,Thelma & Louise (1991),Thelma & Louise (1991),Louise,https://www.imdb.com/title/tt0103074/mediaviewer/rm2049906944/
"Courage is not the absence of fear, but rather the judgment that something else is more important than fear.","El coraje no es la ausencia de miedo, sino el juicio de que algo más es más importante que el miedo.",The Princess Diaries (2001),El diario de la princesa (2001),Joe,https://www.imdb.com/title/tt0247638/mediaviewer/rm1593880576/
You’re only given a little spark of madness. You mustn’t lose it.,Solo se te da una chispa de locura. No debes perderla.,Robin Williams: Live on Broadway (2002),Robin Williams: Live on Broadway (2002),Robin Williams,https://www.imdb.com/title/tt0338526/mediaviewer/rm3579970560/
It’s not until you lose everything that you can truly appreciate everything.,No es hasta que lo pierdes todo que puedes realmente apreciar todo.,Beauty and the Beast (2017),La bella y la bestia (2017),Beast,https://www.imdb.com/title/tt2771200/mediaviewer/rm3761329152/
"Success is not final, failure is not fatal: It is the courage to continue that counts.","El éxito no es definitivo, el fracaso no es fatal: lo que cuenta es el valor para continuar.",Darkest Hour (2017),Las horas más oscuras (2017),Winston Churchill,https://www.imdb.com/title/tt4555426/mediaviewer/rm2165468672/
Don’t let the fear of striking out keep you from playing the game.,No dejes que el miedo a poncharte te impida jugar el juego.,A Cinderella Story (2004),Una cenicienta moderna (2004),Sam,https://www.imdb.com/title/tt0356470/mediaviewer/rm2966706176/
Sometimes it's the very people who no one imagines anything of who do the things no one can imagine.,"A veces, son las personas que nadie imagina capaces de nada, quienes logran lo que nadie puede imaginar.",The Imitation Game (2014),El código enigma (2014),Alan Turing,https://www.imdb.com/title/tt2084970/mediaviewer/rm3377921536/
It’s only impossible until it’s done.,Solo es imposible hasta que se hace.,Mandela: Long Walk to Freedom (2013),Mandela: Del mito al hombre (2013),Nelson Mandela,https://www.imdb.com/title/tt2304771/mediaviewer/rm3321684992/
All we have to decide is what to do with the time that is given to us.,Todo lo que tenemos que decidir es qué hacer con el tiempo que se nos da.,The Lord of the Rings: The Fellowship of the Ring (2001),El señor de los anillos: La comunidad del anillo (2001),Gandalf,https://www.imdb.com/title/tt0120737/mediaviewer/rm2278988288/
It’s not about how hard you hit. It’s about how hard you can get hit and keep moving forward.,"No se trata de qué tan fuerte golpeas, sino de qué tan fuerte puedes recibir un golpe y seguir adelante.",Rocky Balboa (2006),Rocky Balboa (2006),Rocky,https://www.imdb.com/title/tt0479143/mediaviewer/rm3831894528/
"Fear can hold you prisoner. Hope can set you free.","El miedo puede mantenerte prisionero. La esperanza puede liberarte.",The Shawshank Redemption (1994),Cadena perpetua (1994),Andy Dufresne,https://www.imdb.com/title/tt0111161/mediaviewer/rm195474688/
"I have to remind myself that some birds aren’t meant to be caged. Their feathers are just too bright.","Tengo que recordarme que algunas aves no están hechas para estar enjauladas. Sus plumas son demasiado brillantes.",The Shawshank Redemption (1994),Cadena perpetua (1994),Red,https://www.imdb.com/title/tt0111161/mediaviewer/rm195474688/
"Life was like a box of chocolates. You never know what you're gonna get.","La vida era como una caja de bombones. Nunca sabes lo que te va a tocar.",Forrest Gump (1994),Forrest Gump (1994),Forrest Gump,https://www.imdb.com/title/tt0109830/mediaviewer/rm1010563072/
"Stupid is as stupid does.","Tonto es el que hace tonterías.",Forrest Gump (1994),Forrest Gump (1994),Forrest Gump,https://www.imdb.com/title/tt0109830/mediaviewer/rm1010563072/
"A man who doesn't spend time with his family can never be a real man.","Un hombre que no dedica tiempo a su familia nunca puede ser un hombre de verdad.",The Godfather (1972),El padrino (1972),Vito Corleone,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/
"Leave the gun. Take the cannoli.","Deja el arma. Llévate los cannoli.",The Godfather (1972),El padrino (1972),Peter Clemenza,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/
"No. I am your father.","No. Yo soy tu padre.",Star Wars: The Empire Strikes Back (1980),Star Wars: Episodio V - El Imperio Contraataca (1980),Darth Vader,https://www.imdb.com/title/tt0080684/mediaviewer/rm332363520/
"Are you not entertained?","¿No estáis entretenidos?",Gladiator (2000),Gladiador (2000),Maximus,https://www.imdb.com/title/tt0172495/mediaviewer/rm2563725824/
"Strength and honor.","Fuerza y honor.",Gladiator (2000),Gladiador (2000),Maximus,https://www.imdb.com/title/tt0172495/mediaviewer/rm2563725824/
"A woman's heart is a deep ocean of secrets.","El corazón de una mujer es un profundo océano de secretos.",Titanic (1997),Titanic (1997),Rose DeWitt Bukater,https://www.imdb.com/title/tt0120338/mediaviewer/rm1556735232/
"I'll never let go, Jack. I'll never let go.","Nunca te soltaré, Jack. Nunca te soltaré.",Titanic (1997),Titanic (1997),Rose DeWitt Bukater,https://www.imdb.com/title/tt0120338/mediaviewer/rm1556735232/
"Some men just want to watch the world burn.","Algunos hombres solo quieren ver el mundo arder.",The Dark Knight (2008),El caballero de la noche (2008),Alfred Pennyworth,https://www.imdb.com/title/tt0468569/mediaviewer/rm4023870464/
"We're gonna need a bigger boat.","Vamos a necesitar un barco más grande.",Jaws (1975),Tiburón (1975),Martin Brody,https://www.imdb.com/title/tt0073195/mediaviewer/rm1546363648/
"They may take our lives, but they'll never take our freedom!","Pueden quitarnos la vida, ¡pero jamás nos quitarán la libertad!",Braveheart (1995),Corazón valiente (1995),William Wallace,https://www.imdb.com/title/tt0112573/mediaviewer/rm2882743040/
"Toto, I've a feeling we're not in Kansas anymore.","Toto, tengo la sensación de que ya no estamos en Kansas.",The Wizard of Oz (1939),El mago de Oz (1939),Dorothy Gale,https://www.imdb.com/title/tt0032138/mediaviewer/rm3514045184/